Source_UID,Target_UID
Inlet,G1-U01
Inlet,G2-U01
Inlet,G2-U02
Inlet,G2-U03
Inlet,G2-U04
Inlet,G2-U05
Inlet,G2-U06
Inlet,G3-U01
Inlet,G3-U02
Inlet,G4-U02
Inlet,G4-U01
G1-U01,G1-U02
G1-U01,G1-U03
G1-U02,G1-U04
G1-U04,G1-U06
G1-U06,G1-U08
G1-U03,G1-U05
G1-U05,G1-U07
G1-U07,G1-U09
G2-U02,G2-U08
G2-U03,G2-U09
G2-U04,G2-U18
G2-U05,G2-U10
G2-U08,G2-U15
G2-U08,G2-U16
G2-U08,G2-U17
G2-U01,G2-U15
G2-U15,G2-U22
G2-U22,G2-U29
G2-U29,G2-U35
G2-U35,G2-U41
G2-U16,G2-U23
G2-U23,G2-U30
G2-U30,G2-U36
G2-U36,G2-U41
G2-U41,G2-U45
G2-U09,G2-U17
G2-U17,G2-U24
G2-U24,G2-U31
G2-U31,G2-U37
G2-U18,G2-U25
G2-U25,G2-U32
G2-U32,G2-U38
G2-U38,G2-U42
G2-U10,G2-U26
G2-U10,G2-U18
G2-U06,G2-U11
G2-U06,G2-U12
G2-U06,G2-U13
G2-U11,G2-U19
G2-U19,G2-U26
G2-U26,G2-U33
G2-U33,G2-U39
G2-U39,G2-U43
G2-U43,G2-U46
G2-U46,G2-U49
G2-U42,G2-U52
G2-U49,G2-U52
G2-U37,G2-U52
G2-U12,G2-U20
G2-U12,G2-U21
G2-U20,G2-U27
G2-U27,G2-U34
G2-U34,G2-U40
G2-U40,G2-U44
G2-U44,G2-U47
G2-U44,G2-U48
G2-U47,G2-U50
G2-U48,G2-U50
G2-U13,G2-U21
G2-U21,G2-U28
G2-U28,G2-U34
G2-U07,G2-U14
G2-U14,G2-U44
G2-U48,G2-U51
G3-U01,G3-U03
G3-U02,G3-U03
G3-U03,G3-U04
G3-U03,G3-U05
G3-U04,G3-U06
G3-U06,G3-U08
G3-U05,G3-U07
G3-U07,G3-U09
G3-U09,G3-U10
G3-U10,G3-U11
G4-U02,G4-U04
G4-U04,G4-U06
G4-U06,G4-U08
G4-U01,G4-U03
G4-U03,G4-U05
G4-U05,G4-U07
G4-U08,G4-U09
G4-U07,G4-U09
G4-U09,G4-U10
G4-U09,G4-U11
G2-U28,G2-U07
